Title,Company,Salary
Teacher,"AtoZ e-Commerce,",20K - 35K
Teacher,"The Garage School,",35K - 50K
Male Teacher,"Educators,",Not listed
Senior Teacher,"MCH School,",25K - 25K
Subject Teacher,"Al Badar Al Barakah School (Gulshan Montessori Branch),",Not listed
Subject Teacher,"Syed Tuition Academy,",15K - 20K
Academic Teacher,"Alhidaaya Academy,",30K - 45K
Female Teachers,"DAR E ARQAM SCHOOLS,",Not listed
Computer Teacher,"AIMS School,",20K - 20K
Sindhi Teacher,"Suffah Saviour School,",35K - 35K
English Teacher,"Seeds School,",35K - 35K
Urdu Teacher,"NJV SCHOOL MANAGEMENT BOARD,",Not listed
Maths Teacher,"Brenton Carey Girls' Secondary School,",Not listed
English Teacher,"Sunshine Consultant,",Not listed
School Teacher,"Ali Education System,",15K - 30K
Computer Science Teacher,"ZenCode Education,",35K - 35K
Pre-Primary Teacher / English Teacher (Primary Classes),"Smart School Nazimabad,",Not listed
Sindhi Language Teacher,"Educators Arizona Campus,",20K - 20K
Robotics Trainer/Teacher (STEM Trainer),"Lynx private,",Not listed
Pre-Primary And Primary Teacher,"Shahwilayat Public School,",45K - 45K
Head of Education,"Darul Madinah,",Not listed
Education Coordinator,"Darul Madinah,",Not listed
STEM Instructor,"Techtics Club,",35K - 45K
Education Coordinator,"Dar ul Madinah International Islamic School System Dawat e Islami,",60K - 60K
Lecturer Social Sciences,"SZABIST,",Not listed
Digital Marketing Trainer,"Aptech Computer Education,",30K - 30K
Lab Lecturer - FST,"Ziauddin University,",Not listed
Lecturer - Mechanical Engineering,"Excellists,",Not listed
Chief Engineer Instructor,"Maritime Training Institute,",Not listed
Lecturer Accounting / Finance,"Excellists,",70K - 125K
Digital Marketing Trainer,"Aptech Computer Education,",30K - 30K
Instructor Culinary Arts,"SZABIST ZABTech,",Not listed
Trainer / Technical Writer,"asadakromeostaffingcom,",Not listed
Multiple Openings - Faculty and Support Staff,"Shahwilayat Public School,",Not listed
Lecturer - Software / Computer Science Engineering,"Excellists,",90K - 150K
INSTRUCTOR WEB DEVELOPMENT & ARTIFICIAL INTELLIGENCE,"SZABIST ZABTech,",Not listed
Trainer Consultant for Training on Grievance Redressal Mechanism in Textile Industry,"CARE,",Not listed
