Title,Company,Salary
AI Engineer,"PixelFyre Code Labs,",Not listed
Planning Engineer,"Exide,",Not listed
IT Security Engineer,"Contour Software,",Not listed
Data Engineer,"Horizon Technologies,",200K - 200K
Data Engineer,"Horizon Tech,",200K - 300K
Material Engineer,"Al Falah Chemicals,",Not listed
Sales Engineer,"Abgurt (pvt) limted,",40K - 60K
Site Engineer,"Estate1 Builders and Developers,",Not listed
Shift Engineer,"Wärtsilä,",Not listed
Software Engineer,"SQUATWOLF,",Not listed
Civil Engineer,"Markets LLC Emaar,",Not listed
Software Engineer,"Infinitum Media PVT,",150K - 150K
DevOps Engineer,"asadakromeostaffingcom,",Not listed
QA Engineer,"asadakromeostaffingcom,",Not listed
SQA Engineer,"Liquid Technologies,",80K - 80K
Network Engineer,"Mobiz,",Not listed
AI Engineer,"BrainStorm,",Not listed
Deployment Engineer,"Datasoft Solutions (Pvt.) Ltd.,",Not listed
Software Engineer,"Sorvox Groups,",Not listed
System Engineer,"Sterling Commercial Investments,",80K - 125K
Sales & Support Engineer,"KK Power International Pvt,",Not listed
Assistant Manager Engineering,"Abbott,",Not listed
Civil / Mechanical Engineer,"Gulf Development Contracting,",Not listed
Lecturer - Mechanical Engineering,"Excellists,",Not listed
Estimation Engineer - Karachi,"STAR HR Services Group,",Not listed
Unreal Engine Developer,"The Redstone,",60K - 100K
Jr Devops Engineer,"EoceanPVT,",Not listed
SQA Automation Engineer,"Avanza Solutions,",100K - 150K
Senior Software Engineering Manager,"Careem,",Not listed
Senior AI Engineer I,"Careem,",Not listed
Senior Software Engineering Manager,"Careem,",Not listed
Senior AI Engineer I,"Careem,",Not listed
Junior System Support Engineer,"Crystal Tech,",30K - 30K
Senior Software Engineering Manager,"Careem,",Not listed
Senior AI Engineer I,"Careem,",Not listed
Senior Software Engineering Manager,"Careem,",Not listed
Senior AI Engineer I,"Careem,",Not listed
System Support Engineer – Broadcast / IT,"Apna Tv Network,",50K - 70K
Senior AI ML Engineer,"NextgenI,",Not listed
Electronics Engineer - Packaging Industry,"Fulcrum Pvt,",80K - 80K
Senior Software Engineering Manager,"Careem,",Not listed
