Title,Company,Salary
DevOps Engineer,"Broadstone Technologies,",Not listed
Service Engineer,"Latif Brothers (Instruments),",60K - 70K
Project Engineer,"Pearl Engineering & Contracting,",50K - 125K
Software Engineer,"Siriz Apps,",Not listed
Resident Engineer,"CIVITECH,",80K - 80K
AI Engineer,"ROZEE.PK,",Not listed
SQA Engineer,"Hashed System,",50K - 50K
Sales Engineer,"Abgurt (pvt) limted,",40K - 60K
Sales Engineer,"Professional Lubes,",Not listed
Sales Engineer,"Elmetec Private Limited,",Not listed
Sales Engineer,"SA Corporation Pvt,",40K - 40K
SQA Engineer,"VentureDK,",Not listed
Infrastructure Engineer,"Atlas Group,",60K - 70K
SQA Engineer,"ibex,",Not listed
Civil Engineer,"Markets LLC Emaar,",Not listed
VOIP Engineer,"ibex,",Not listed
Electrical Engineer,"Jazac Group of Companies,",Not listed
Civil Engineer,"Kaizen Builders,",Not listed
Procurement Engineer,"Hi Tech Plastics Engineering,",Not listed
Estimation Engineer,"Construction Solutions Pvt. Ltd.,",Not listed
Electrical / Mechanical Engineering,"Orion Lighting Private Limited,",30K - 40K
Generative AI Engineer,"Cogent Labs,",150K - 150K
AI Automation Engineer,"Click Traces Private,",150K - 150K
Technical Sales Engineer,"Optimum HR,",80K - 80K
SQA Engineer (Automation),"PureLogics,",200K - 200K
Application Support Engineer,"Get Appoint,",100K - 100K
Data Science Engineer,"DeepSeed,",Not listed
Project Engineer (Mech),"MEP Solutions,",55K - 55K
Solar Site Engineer,"Urban SolTech,",45K - 50K
Solar Site Engineer,"Encodx Solutions,",45K - 60K
QA Engineer II,"Careem,",Not listed
QA Engineer I,"Careem,",Not listed
QA Engineer II,"Careem,",Not listed
QA Engineer I,"Careem,",Not listed
SQA Engineer - Automation,"PureLogics,",Not listed
Senior Backend Engineer,"PureLogics,",Not listed
Sr. Development Engineer,"Waves Home Appliances Limited.,",Not listed
QA Engineer II,"Careem,",Not listed
QA Engineer I,"Careem,",Not listed
QA Engineer II,"Careem,",Not listed
QA Engineer I,"Careem,",Not listed
Network Support Engineer,"Cube Healthcare Systems Pvt,",Not listed
QA Engineer II,"Careem,",Not listed
QA Engineer I,"Careem,",Not listed
Sales Engineer - Mechanical,"Professional Lubes,",Not listed
n8n Automation Engineer,"HR Ways - Hiring Tech Talent,",Not listed
ML Operations Engineer,"JSYS Technologies,",Not listed
Civil Engineer / Technician,"Jazac Group of Companies,",Not listed
Associate Software Engineer,"HR Force International,",Not listed
RF Applications Engineer,"MHz TECHNOLOGIES LTD,",Not listed
QA Engineer II,"Careem,",Not listed
QA Engineer I,"Careem,",Not listed
Graduate Engineering Trainee,"ACET Solutions,",Not listed
Junior Software Engineer,"Xcentric Services,",Not listed
Electronics Design Engineer,"Nessovo solutions,",80K - 80K
Jr. Embedded Engineer,"Dysol pvt,",30K - 30K
Full Stack Engineer,"ilsa Interactive,",250K - 300K
Assistant Electronics Engineer,"Ihsan Sons Pvt Ltd,",Not listed
Software Engineer - Java,"Lonestar Technologies,",40K - 50K
Embedded Systems Engineer,"Petsaal Technologies Pvt Ltd,",250K - 300K
Associate Electrical Engineer,"Well Beeing,",50K - 70K
Software Engineer - Laravel,"Dubizzle Labs,",Not listed
Full Stack Engineer,"Co Bounce,",200K - 350K
Software Engineer - iOS,"Dubizzle Labs,",Not listed
AI Prompt Engineer,"KAVAK,",Not listed
Embedded Firmware Engineer,"VMS Innovations Ltd.,",Not listed
QA Engineer II,"Careem,",Not listed
QA Engineer I,"Careem,",Not listed
QA Engineer II,"Careem,",Not listed
QA Engineer I,"Careem,",Not listed
System Support Engineer,"Physicians Revenue Group,",50K - 50K
QA Engineer II,"Careem,",Not listed
QA Engineer I,"Careem,",Not listed
QA Engineer II,"Careem,",Not listed
QA Engineer I,"Careem,",Not listed
Civil / Mechanical Engineer,"Gulf Development Contracting,",Not listed
QC Engineer Switchgear,"Pak Elektron Limited,",Not listed
Lecturer - Mechanical Engineering,"Excellists,",Not listed
Associate Engineer - Quality,"Haier,",Not listed
AI/ML Engineer,"Appsians,",Not listed
Machine Learning Engineer,"Consultancy Outfit,",Not listed
MEP Proposal Engineer,"Ashraf Fabrication & Engineering Industries (Pvt) Ltd.,",Not listed
Unreal Engine Developer,"The Redstone,",60K - 100K
Technical Sales Engineer,"Royal Solar Energy Pvt,",65K - 65K
Trainee Software Engineering,"NumDesk Private,",30K - 30K
Senior Electrical Engineer,"HMS Pvt Ltd,",80K - 150K
Technical Sales Engineer,"Team Zeta Hiring Agency,",Not listed
SQA Engineer - Manual,"CodeAutomationai,",Not listed
Senior Engineer - OCS,"Qvantel SMC Pvt Ltd,",Not listed
Assistant MEP Engineer,"Q Real Estate,",50K - 50K
Project Engineer Solar Site,"Maspro Energy Pvt,",90K - 90K
Software Engineer I - MLOps,"Careem,",Not listed
Senior AI Engineer I,"Careem,",Not listed
Software Engineer I - MLOps,"Careem,",Not listed
Senior AI Engineer I,"Careem,",Not listed
Unreal Engine Developer - VR,"Sheikh Studios,",25K - 60K
Software Quality Assurance Engineer,"EEWorx Ensuring Quality,",40K - 40K
Software Engineer I - MLOps,"Careem,",Not listed
Senior AI Engineer I,"Careem,",Not listed
Software Engineer I - MLOps,"Careem,",Not listed
Senior AI Engineer I,"Careem,",Not listed
Software Engineer I - MLOps,"Careem,",Not listed
Senior AI Engineer I,"Careem,",Not listed
Electrical Engineer - Diploma Holder,"Siddique Sons Engineering Pvt Ltd,",50K - 60K
Software Engineer I - MLOps,"Careem,",Not listed
Senior Software Engineer I,"Careem,",Not listed
Senior AI Engineer I,"Careem,",Not listed
Java Software Engineer - IT Sector,"UWorx Group,",Not listed
Quality Assurance Automation Engineer,"Vertex IT Solutions,",Not listed
Senior Software Engineer - PythonDjango,"Dubizzle Labs,",Not listed
Software Engineer I - MLOps,"Careem,",Not listed
Senior Software Engineer I,"Careem,",Not listed
Software Engineer I - MLOps,"Careem,",Not listed
Senior Software Engineer I,"Careem,",Not listed
Senior Software Engineer - Laravel,"Dubizzle Labs,",Not listed
Software Quality Assurance Engineer,"One Machine Software,",50K - 50K
Software Engineer I - MLOps,"Careem,",Not listed
Senior Software Engineer I,"Careem,",Not listed
Software Engineer I - MLOps,"Careem,",Not listed
Senior Software Engineer I,"Careem,",Not listed
Associate Engineer - Production Planning,"Haier,",Not listed
Software Engineer - .NET Technologies,"Taleem Finance Company Ltd.,",Not listed
Software Quality Assurance Engineer,"Dunesync,",Not listed
Trainee Design & Proposal Engineer,"Avanceon MEA,",Not listed
Software Engineer - SQL Database,"The Shams Group,",Not listed
Repairing Lab Engineer / Technician,"Micron Technology,",Not listed
Senior Machine Learning Engineer,"NETSOL Technologies Inc.,",Not listed
Network / Cloud Engineer,"Professional Employers (Pvt) Ltd,",Not listed
Senior Software Engineer I - Fullstack,"Careem,",Not listed
Senior Software Engineer I - Backend,"Careem,",Not listed
Senior Software Engineer I - Fullstack,"Careem,",Not listed
Senior Software Engineer I - Backend,"Careem,",Not listed
Senior Software Engineer I - Android,"Careem,",Not listed
Senior Software Engineer I - Android,"Careem,",Not listed
Software Automation Quality Assurance Engineer,"AlphaBOLD,",Not listed
Senior Software Engineer I - Android,"Careem,",Not listed
Senior Software Engineer I - Android,"Careem,",Not listed
Senior Software Engineer I - Android,"Careem,",Not listed
Senior Software Engineer I - Android,"Careem,",Not listed
Associate - Environment Artist (Unreal Engine),"Zameen.com,",Not listed
Senior Software Engineer I - Android,"Careem,",Not listed
"MEP Engineer (Mechanical, Electrical and Plumbing)","OZ DEVELOPERS,",Not listed
Aftersales Engineer ( Electronics / Mechatronics / Electrical ),"KK Power International Pvt,",Not listed
Senior Software Engineer I - Android,"Careem,",Not listed
Senior Software Engineer I - Android,"Careem,",Not listed
Lecturer - Software / Computer Science Engineering,"Excellists,",90K - 150K
Faculty Lecturer - Electrical / Electronic Engineering,"Excellists,",90K - 150K
Associate Engineer - BOM / Rejection Handling,"Haier,",Not listed
Assistant Manager – Technical & Engineering Store,"SRK Ventures,",Not listed
CloudOps / SysOps Engineer - Azure / On Prem,"ROZEE.PK,",Not listed
Control Room Representative / Civil Engineer,"MEFCON Enterprises (Pvt.) Ltd.,",Not listed
AI / ML Engineer / Computer Vision Specialist,"JSYS Technologies,",Not listed
Technical Sales Engineer - Pneumatic / Mechanical Parts,"Techno Engineering,",50K - 100K
Performance Marketing Manager (Search Engine Marketing),"The Childrens Place,",Not listed
Project Engineer- Solar Execution (Institutional Projects),"STRATCOR PRIVATE,",80K - 80K
Electrical / Mechanica l/ Biomedical / DAE Engineer,"Medi Bridge,",Not listed
Senior Software Quality Assurance (SQA) Engineer,"WP Minds,",60K - 60K
Production Supervisor - Engineer UPS / Battery / EV Chargers,"Sinusoid Engineering Solutions,",80K - 150K
Senior Cloud Engineer,"Contour Software,",Not listed
Dynamics 365 Customer Engagement Engineer,"Contour Software,",Not listed
Azure Software Engineer (Dynamics 365),"Contour Software,",Not listed
Software Development Engineer in Test,"Contour Software,",Not listed
Senior Elastic Search Engineer,"Contour Software,",Not listed
